# PerfMonitor started 2026-05-16T18:44:43
# threshold=18ms history=600f context=30f post=10f
# .NET GC server=False latencyMode=Interactive
frame,frame_ms,proc_ms,phys_ms,gc0,gc1,gc2,note
# SPIKE #1 t=465ms 142.69ms
# RECENT MARKS (last 2):
#   t=433ms [music_load] title_screens (BEGIN)
#   t=434ms [music_load] title_screens (END +2ms)
15453,8.33,9.28,0.88,0,0,0,
15454,8.33,9.28,0.88,0,0,0,
15455,8.33,9.28,0.88,0,0,0,
15456,8.33,9.28,0.88,0,0,0,
15457,41.40,9.28,0.88,0,0,0,SPIKE
15458,16.67,9.28,0.88,0,0,0,POST
15459,9.16,9.28,0.88,0,0,0,POST
15460,8.33,9.28,0.88,0,0,0,POST
15461,8.33,9.28,0.88,0,0,0,POST
15462,8.33,9.28,0.88,0,0,0,POST
15463,8.33,9.28,0.88,0,0,0,POST
15464,8.33,9.28,0.88,0,0,0,POST
15465,8.33,9.28,0.88,0,0,0,POST
15466,8.33,9.28,0.88,0,0,0,POST
15467,8.33,9.28,0.88,0,0,0,POST

# SPIKE #10 t=177138ms 33.06ms
# RECENT MARKS (last 12):
#   t=168692ms [scene_transition] uid://cqj4q3ql7meqi (BEGIN)
#   t=170298ms [scene_transition] uid://cqj4q3ql7meqi (END +1606ms)
#   t=170308ms [npc_init] Pete (BEGIN)
#   t=170308ms [npc_init] Pete (END +0ms)
#   t=170308ms [music_load] adventureland_happy (BEGIN)
#   t=170308ms [music_load] adventureland_happy (END +0ms)
#   t=170308ms [music_load] adventureland_stress (BEGIN)
#   t=170308ms [music_load] adventureland_stress (END +0ms)
#   t=170308ms [music_load] adventureland_danger (BEGIN)
#   t=170308ms [music_load] adventureland_danger (END +0ms)
#   t=170309ms [map_load] root (BEGIN)
#   t=170312ms [map_load] root (END +3ms)
21103,8.33,9.48,1.79,0,0,0,
21104,8.33,9.48,1.79,0,0,0,
21105,8.33,9.48,1.79,0,0,0,
21106,8.33,9.48,1.79,0,0,0,
21107,8.33,9.48,1.79,0,0,0,
21108,8.33,9.48,1.79,0,0,0,
21109,8.33,9.48,1.79,0,0,0,
21110,8.33,9.48,1.79,0,0,0,
21111,8.33,9.48,1.79,0,0,0,
21112,8.33,9.48,1.79,0,0,0,
21113,8.33,9.48,1.79,0,0,0,
21114,8.33,9.48,1.79,0,0,0,
21115,8.33,9.48,1.79,0,0,0,
21116,8.33,9.48,1.79,0,0,0,
21117,8.33,9.48,1.79,0,0,0,
21118,8.33,9.48,1.79,0,0,0,
21119,8.33,9.48,1.79,0,0,0,
21120,8.33,9.84,2.07,0,0,0,
21121,8.33,9.84,2.07,0,0,0,
21122,8.33,9.84,2.07,0,0,0,
21123,8.33,9.84,2.07,0,0,0,
21124,8.33,9.84,2.07,0,0,0,
21125,8.33,9.84,2.07,0,0,0,
21126,8.33,9.84,2.07,0,0,0,
21127,8.33,9.84,2.07,0,0,0,
21128,8.33,9.84,2.07,0,0,0,
21129,8.33,9.84,2.07,0,0,0,
21130,8.33,9.84,2.07,0,0,0,
21131,8.33,9.84,2.07,0,0,0,
21132,33.06,9.84,2.07,0,0,0,SPIKE
21133,16.67,9.84,2.07,0,0,0,POST
21134,8.33,9.84,2.07,0,0,0,POST
21135,8.33,9.84,2.07,0,0,0,POST
21136,8.33,9.84,2.07,0,0,0,POST
21137,8.33,9.84,2.07,0,0,0,POST
21138,8.33,9.84,2.07,0,0,0,POST
21139,8.33,9.84,2.07,0,0,0,POST
21140,8.33,9.84,2.07,0,0,0,POST
21141,8.33,9.84,2.07,0,0,0,POST
21142,8.33,9.84,2.07,0,0,0,POST

# SPIKE #11 t=220339ms 41.26ms
# RECENT MARKS (last 12):
#   t=208940ms [vo_play] AL/rosie_caught (BEGIN)
#   t=208940ms [vo_play] AL/rosie_caught (END +0ms)
#   t=211139ms [sfx_play] player_pike (BEGIN)
#   t=211140ms [sfx_play] player_pike (END +1ms)
#   t=211989ms [sfx_play] player_pike (BEGIN)
#   t=211990ms [sfx_play] player_pike (END +1ms)
#   t=213647ms [sfx_play] heart (BEGIN)
#   t=213648ms [sfx_play] heart (END +1ms)
#   t=217414ms [sfx_play] slime_jump (BEGIN)
#   t=217414ms [sfx_play] slime_jump (END +0ms)
#   t=219247ms [sfx_play] slime_jump (BEGIN)
#   t=219248ms [sfx_play] slime_jump (END +1ms)
26279,8.33,9.39,3.24,0,0,0,
26280,8.33,9.39,3.24,0,0,0,
26281,8.33,9.39,3.24,0,0,0,
26282,8.33,9.39,3.24,0,0,0,
26283,8.33,9.39,3.24,0,0,0,
26284,8.33,9.39,3.24,0,0,0,
26285,8.33,9.39,3.24,0,0,0,
26286,8.33,9.39,3.24,0,0,0,
26287,8.33,9.39,3.24,0,0,0,
26288,8.33,9.39,3.24,0,0,0,
26289,8.33,9.39,3.24,0,0,0,
26290,8.33,9.39,3.24,0,0,0,
26291,8.33,9.39,3.24,0,0,0,
26292,8.33,9.39,3.24,0,0,0,
26293,8.33,9.39,3.24,0,0,0,
26294,8.33,9.39,3.24,0,0,0,
26295,8.33,9.39,3.24,0,0,0,
26296,8.33,9.39,3.24,0,0,0,
26297,8.33,9.39,3.24,0,0,0,
26298,8.33,9.39,3.24,0,0,0,
26299,8.33,9.39,3.24,0,0,0,
26300,8.33,9.39,3.24,0,0,0,
26301,8.33,9.39,3.24,0,0,0,
26302,8.33,9.39,3.24,0,0,0,
26303,8.33,9.39,3.24,0,0,0,
26304,8.33,9.39,3.24,0,0,0,
26305,8.33,9.39,3.24,0,0,0,
26306,8.33,9.39,3.24,0,0,0,
26307,8.33,9.39,3.24,1,1,0,
26308,41.26,9.39,3.24,0,0,0,SPIKE
26309,16.67,9.39,3.24,0,0,0,POST
26310,8.97,9.39,3.24,0,0,0,POST
